Nome: JOAO PESSOA
Codigo Estacao: A320
Latitude: -7.165409
Longitude: -34.815627
Altitude: 33.5
Situacao: Operante
Data Inicial: 2009-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2009-01-11;1900;1879,928;
2009-01-11;2000;608,328;
2009-01-11;2100;153,743;
2009-01-11;2200;-2,492;
2009-01-11;2300;-3,54;
2009-01-12;0000;-3,54;
2009-01-12;0100;-3,473;
2009-01-12;0200;-3,54;
2009-01-12;0300;-3,453;
2009-01-12;0400;-2,421;
2009-01-12;0500;-3,205;
2009-01-12;0600;-1,33;
2009-01-12;0700;-1,118;
2009-01-12;0800;-3,54;
2009-01-12;0900;31,274;
2009-01-12;1000;560,735;
2009-01-12;1100;1586,297;
2009-01-12;1200;2265,008;
2009-01-12;1300;3026,931;
2009-01-12;1400;3222,13;
2009-01-12;1500;3770,459;
2009-01-12;1600;3466,304;
2009-01-12;1700;3130,619;
2009-01-12;1800;2175,325;
2009-01-12;1900;1777,791;
2009-01-12;2000;880,443;
2009-01-12;2100;231,217;
2009-01-12;2200;-3,243;
2009-01-12;2300;-3,54;
2009-01-13;0000;-3,54;
2009-01-13;0100;-3,54;
2009-01-13;0200;-3,54;
2009-01-13;0300;-3,54;
2009-01-13;0400;-3,526;
2009-01-13;0500;-3,54;
2009-01-13;0600;-3,535;
2009-01-13;0700;-3,54;
2009-01-13;0800;-3,54;
2009-01-13;0900;27,996;
2009-01-13;1000;603,326;
2009-01-13;1100;1591,24;
2009-01-13;1200;2502,516;
2009-01-13;1300;2918,23;
2009-01-13;1400;3529,132;
2009-01-13;1500;3055,379;
2009-01-13;1600;3144,19;
2009-01-13;1700;2181,054;
2009-01-13;1800;1464,87;
2009-01-13;1900;1010,588;
2009-01-13;2000;587,853;
2009-01-13;2100;174,659;
2009-01-13;2200;-2,044;
2009-01-13;2300;-3,54;
2009-01-14;0000;-3,458;
2009-01-14;0100;-3,01;
2009-01-14;0200;-3,327;
2009-01-14;0300;-3,445;
2009-01-14;0400;-2,878;
2009-01-14;0500;-3,023;
2009-01-14;0600;-3,34;
2009-01-14;0700;-3,469;
2009-01-14;0800;-3,314;
2009-01-14;0900;45,914;
2009-01-14;1000;562,441;
2009-01-14;1100;911,218;
2009-01-14;1200;1722,759;
2009-01-14;1300;1511,707;
2009-01-14;1400;1955,996;
2009-01-14;1500;2587,864;
2009-01-14;1600;3023,752;
2009-01-14;1700;2079,533;
2009-01-14;1800;1455,511;
2009-01-14;1900;1427,084;
2009-01-14;2000;799,008;
2009-01-14;2100;213,782;
2009-01-14;2200;-2,876;
2009-01-14;2300;-3,54;
2009-01-15;0000;-3,54;
2009-01-15;0100;-3,54;
2009-01-15;0200;-3,54;
2009-01-15;0300;-3,54;
2009-01-15;0400;-3,54;
2009-01-15;0500;-3,54;
2009-01-15;0600;-3,54;
